,Champion**Item,picks
9817,Skarner**Caulfield's Warhammer,8
9818,Teemo**Rapid Firecannon,8
9819,FiddleSticks**Faerie Charm,8
9820,Twitch**Edge of Night,8
9821,Braum**Abyssal Mask,8
9822,Jhin**Elixir of Wrath,8
9823,Jax**Fiendish Codex,8
9824,Chogath**Night Harvester,8
9825,Draven**Maw of Malmortius,8
9826,Brand**Ornn upgraded item,8
9827,Vi**Doran's Ring,8
9828,Nidalee**Berserker's Greaves,8
9829,Samira**Caulfield's Warhammer,8
9830,Ashe**Ruby Crystal,8
9831,Ekko**Divine Sunderer,8
9832,Irelia**Last Whisper,8
9833,Zed**Hailblade,8
9834,Corki**Trinity Force,8
9835,Nunu**Knight's Vow,8
9836,Galio**Fimbulwinter,8
9837,Rell**Force of Nature,8
9838,XinZhao**Edge of Night,8
9839,Taliyah**Demonic Embrace,8
9840,Sion**Knight's Vow,8
9841,Lissandra**Bulwark of the Mountain,8
9842,Malphite**Titanic Hydra,8
9843,Lulu**Zeal,8
9844,Varus**Riftmaker,8
9845,Leona**Divine Sunderer,8
9846,Warwick**Ravenous Hydra,8
9847,Trundle**Oblivion Orb,8
9848,Volibear**Abyssal Mask,8
9849,Maokai**Cosmic Drive,8
9850,Poppy**Rejuvenation Bead,8
9851,Vi**Recurve Bow,8
9852,Shaco**Ravenous Hydra,8
9853,Shaco**Frozen Heart,8
9854,Tryndamere**Negatron Cloak,8
9855,LeeSin**Lord Dominik's Regards,8
9856,Veigar**Slightly Magical Footwear,8
9857,Fiora**Force of Nature,8
9858,JarvanIV**Maw of Malmortius,8
9859,Kayle**Galeforce,8
9860,Shen**Vigilant Wardstone,8
9861,Ekko**Doran's Blade,8
9862,Sion**Divine Sunderer,8
9863,Kaisa**Sorcerer's Shoes,8
9864,Nidalee**Nashor's Tooth,8
9865,Udyr**Doran's Blade,8
9866,Irelia**Rejuvenation Bead,8
9867,Rengar**Phantom Dancer,8
9868,Yuumi**Ornn upgraded item,1
9869,Illaoi**Giant's Belt,8
9870,Olaf**Turbo Chemtank,8
9871,Zed**Silvermere Dawn,8
9872,Kayle**Rapid Firecannon,8
9873,Qiyana**Health Potion,8
9874,Yone**Thornmail,8
9875,Bard**Sheen,8
9876,Amumu**Corrupting Potion,8
9877,Sivir**Ornn upgraded item,1
9878,Seraphine**Evenshroud,8
9879,Cassiopeia**Aegis of the Legion,8
9880,Sylas**Mobility Boots,8
9881,Aatrox**Abyssal Mask,8
9882,Kalista**Silvermere Dawn,8
9883,Nasus**Death's Dance,8
9884,Sion**Zeal,8
9885,MasterYi**Dead Man's Plate,8
9886,Ezreal**Youmuu's Ghostblade,8
9887,Draven**Doran's Shield,8
9888,FiddleSticks**Null-Magic Mantle,8
9889,Swain**Mobility Boots,8
9890,Swain**Perfectly Timed Stopwatch,8
9891,DrMundo**Ionian Boots of Lucidity,8
9892,Kassadin**Faerie Charm,8
9893,Nocturne**Frozen Heart,8
9894,Shyvana**Vampiric Scepter,8
9895,Alistar**Gargoyle Stoneplate,8
9896,Neeko**Guinsoo's Rageblade,8
9897,Kled**Evenshroud,8
9898,Braum**Ornn upgraded item,8
9899,Yasuo**Evenshroud,8
9900,Vex**Fimbulwinter,8
9901,Malzahar**Horizon Focus,8
9902,Taric**Muramana,8
9903,Talon**Cloak of Agility,8
9904,Sion**Rejuvenation Bead,8
9905,Brand**Plated Steelcaps,8
9906,Twitch**Total Biscuit of Everlasting Will,8
9907,Sivir**Axiom Arc,8
9908,XinZhao**Maw of Malmortius,8
9909,Akshan**Black Mist Scythe,8
9910,Gangplank**Phantom Dancer,8
9911,Diana**Bramble Vest,8
9912,Kassadin**Thornmail,8
9913,Nunu**Aether Wisp,8
9914,Senna**Giant's Belt,8
9915,Annie**Aether Wisp,8
9916,Renekton**Maw of Malmortius,8
9917,Zilean**Ornn upgraded item,8
9918,Nocturne**Hexdrinker,8
9919,MasterYi**Silvermere Dawn,8
9920,Jayce**Cloak of Agility,8
9921,Ivern**Everfrost,8
9922,Garen**Rapid Firecannon,8
9923,Anivia**Ornn upgraded item,2
9924,Warwick**Fiendish Codex,8
9925,Yuumi**Shadowflame,8
9926,Shaco**Pauldrons of Whiterock,8
9927,Yuumi**Slightly Magical Footwear,8
9928,TwistedFate**Pickaxe,8
9929,Gnar**Recurve Bow,8
9930,Nami**Blasting Wand,8
9931,Nocturne**Force of Nature,8
9932,Jayce**Mobility Boots,8
9933,Gwen**Health Potion,8
9934,Janna**Aether Wisp,8
9935,JarvanIV**Hearthbound Axe,8
9936,Sejuani**Dead Man's Plate,8
9937,MonkeyKing**Total Biscuit of Everlasting Will,8
9938,Yasuo**Divine Sunderer,8
9939,MonkeyKing**Cull,8
9940,JarvanIV**Glacial Buckler,8
9941,XinZhao**Glacial Buckler,8
9942,Singed**Slightly Magical Footwear,8
9943,Kled**Immortal Shieldbow,8
9944,Rengar**Amplifying Tome,8
9945,Pantheon**Health Potion,8
9946,Irelia**Lord Dominik's Regards,8
9947,MasterYi**Anathema's Chains,8
9948,Yone**Force of Nature,8
9949,Urgot**Tear of the Goddess,8
9950,Akali**Chain Vest,8
9951,Ekko**Mobility Boots,8
9952,Trundle**Winter's Approach,8
9953,Sett**Youmuu's Ghostblade,8
9954,Syndra**Boots of Swiftness,7
9955,Pyke**Kindlegem,7
9956,Shaco**Fimbulwinter,7
9957,Braum**Spectre's Cowl,7
9958,Rengar**Bloodthirster,7
9959,Jayce**Ravenous Hydra,7
9960,Soraka**Everfrost,7
9961,Warwick**Guinsoo's Rageblade,7
9962,Ezreal**Noonquiver,7
9963,TwistedFate**Infinity Edge,7
9964,Senna**Trinity Force,7
9965,Vayne**Hexdrinker,7
9966,Tryndamere**Kindlegem,7
9967,Darius**Blade of The Ruined King,7
9968,Volibear**Health Potion,7
9969,MonkeyKing**Health Potion,7
9970,Velkoz**Corrupting Potion,7
9971,Zyra**Mobility Boots,7
9972,Rakan**Commencing Stopwatch,7
9973,Warwick**Pauldrons of Whiterock,7
9974,Swain**Spellthief's Edge,7
9975,Sion**Dead Man's Plate,7
9976,Vi**Prowler's Claw,7
9977,Kalista**Youmuu's Ghostblade,7
9978,Xayah**Black Mist Scythe,7
9979,Yorick**Hearthbound Axe,7
9980,TahmKench**Hearthbound Axe,7
9981,Kayle**Redemption,7
9982,Lucian**Ruby Crystal,7
9983,Azir**Slightly Magical Footwear,7
9984,Trundle**Forbidden Idol,7
9985,Olaf**Negatron Cloak,7
9986,Khazix**Warden's Mail,7
9987,Pyke**Locket of the Iron Solari,7
9988,Gangplank**Warden's Mail,7
9989,JarvanIV**Ravenous Hydra,7
9990,Jhin**Black Mist Scythe,7
9991,Kayle**Luden's Tempest,7
9992,MasterYi**Cull,7
9993,Neeko**Boots of Swiftness,7
9994,Rumble**Leeching Leer,7
9995,Quinn**Caulfield's Warhammer,7
9996,Aatrox**Duskblade of Draktharr,7
9997,Jax**Amplifying Tome,7
9998,Orianna**Null-Magic Mantle,7
9999,Rammus**Wit's End,7
10000,Gnar**Berserker's Greaves,7
10001,Shyvana**Kraken Slayer,7
10002,Vex**Spellthief's Edge,7
10003,Kaisa**Tear of the Goddess,7
10004,TwistedFate**Immortal Shieldbow,7
10005,Cassiopeia**Faerie Charm,7
10006,Sylas**Abyssal Mask,7
10007,Rengar**Fiendish Codex,7
10008,Velkoz**Rylai's Crystal Scepter,7
10009,Rakan**Corrupting Potion,7
10010,Leblanc**Chemtech Putrifier,7
10011,Corki**Lost Chapter,7
10012,Garen**Quicksilver Sash,7
10013,Anivia**Shurelya's Battlesong,7
10014,Rell**Dark Seal,7
10015,Hecarim**Essence Reaver,7
10016,Gnar**Spirit Visage,7
10017,Irelia**Mobility Boots,7
10018,Karthus**Elixir of Sorcery,7
10019,Bard**Luden's Tempest,7
10020,Ashe**Ravenous Hydra,7
10021,Irelia**Eclipse,7
10022,Pantheon**Spirit Visage,7
10023,Twitch**Rapid Firecannon,7
10024,Sett**Abyssal Mask,7
10025,Zilean**Glacial Buckler,7
10026,Nidalee**Corrupting Potion,7
10027,Amumu**Seraph's Embrace,7
10028,Ziggs**Mercury's Treads,7
10029,Singed**Sapphire Crystal,7
10030,Shyvana**Bami's Cinder,7
10031,Karma**Doran's Shield,7
10032,Nunu**Emberknife,7
10033,Hecarim**Sapphire Crystal,7
10034,Kaisa**Dark Seal,7
10035,Taric**Bami's Cinder,7
10036,Talon**Negatron Cloak,7
10037,Udyr**Prowler's Claw,7
10038,Warwick**Axiom Arc,7
10039,Zac**Imperial Mandate,7
10040,Shaco**Night Harvester,7
10041,Maokai**Doran's Ring,7
10042,Ashe**Glacial Buckler,7
10043,Camille**Mobility Boots,7
10044,Senna**Anathema's Chains,7
10045,Irelia**Sorcerer's Shoes,7
10046,Hecarim**Hailblade,7
10047,Xerath**Imperial Mandate,7
10048,Corki**Stormrazor,7
10049,Tryndamere**Warden's Mail,7
10050,Braum**Forbidden Idol,7
10051,Kindred**Axiom Arc,7
10052,RekSai**Mobility Boots,7
10053,Draven**Bramble Vest,7
10054,Nautilus**Warmog's Armor,7
10055,Kayle**Rylai's Crystal Scepter,7
10056,Taliyah**Boots of Swiftness,7
10057,Camille**Runesteel Spaulders,7
10058,Nocturne**Spirit Visage,7
10059,Kalista**Spirit Visage,7
10060,Nidalee**Abyssal Mask,7
10061,Amumu**Total Biscuit of Everlasting Will,7
10062,Varus**Chempunk Chainsword,7
10063,Kassadin**Nashor's Tooth,7
10064,Ezreal**Rageknife,7
10065,Cassiopeia**Negatron Cloak,7
10066,Kled**Dagger,7
10067,Taric**Doran's Shield,7
10068,Khazix**Ironspike Whip,7
10069,Rengar**Seeker's Armguard,7
10070,Aatrox**Essence Reaver,7
10071,Kayle**Runaan's Hurricane,7
10072,Rengar**Hullbreaker,7
10073,Urgot**Slightly Magical Footwear,7
10074,Thresh**Pickaxe,7
10075,TahmKench**Vigilant Wardstone,7
10076,Viktor**Shard of True Ice,7
10077,Ahri**Berserker's Greaves,7
10078,Corki**Hearthbound Axe,7
10079,Pyke**Total Biscuit of Everlasting Will,7
10080,JarvanIV**Amplifying Tome,7
10081,Viego**Trinity Force,7
10082,Bard**Tear of the Goddess,7
10083,Fiora**Winged Moonplate,7
10084,Twitch**Lich Bane,7
10085,Renekton**Evenshroud,7
10086,DrMundo**Long Sword,7
10087,Yasuo**Trinity Force,7
10088,Shaco**Bramble Vest,7
10089,Lillia**Horizon Focus,7
10090,XinZhao**Winter's Approach,7
10091,Twitch**Caulfield's Warhammer,7
10092,Zed**Mortal Reminder,7
10093,Garen**Ionian Boots of Lucidity,7
10094,TwistedFate**Vampiric Scepter,7
10095,Nasus**Muramana,7
10096,Urgot**Quicksilver Sash,7
10097,Zac**Blighting Jewel,7
10098,Gnar**Immortal Shieldbow,7
10099,Aatrox**The Collector,7
10100,Veigar**Thornmail,7
10101,Lucian**Manamune,7
10102,Viego**Guinsoo's Rageblade,7
10103,Rakan**Hextech Alternator,7
10104,Vi**Turbo Chemtank,7
10105,Yorick**Anathema's Chains,7
10106,Nocturne**Kraken Slayer,7
10107,Volibear**Oblivion Orb,7
10108,Aatrox**Quicksilver Sash,7
10109,Nasus**Sorcerer's Shoes,7
10110,Nami**Chain Vest,7
10111,Camille**Sapphire Crystal,7
10112,Quinn**Runaan's Hurricane,7
10113,Lillia**Abyssal Mask,7
10114,Shyvana**Sheen,7
10115,Shen**Steel Shoulderguards,7
10116,Tristana**Doran's Shield,7
10117,Pyke**Perfectly Timed Stopwatch,7
10118,Quinn**Mobility Boots,7
10119,Urgot**Sheen,7
10120,DrMundo**Knight's Vow,7
10121,Jhin**Mobility Boots,7
10122,Evelynn**Dagger,7
10123,Bard**Verdant Barrier,7
10124,Gragas**Bandleglass Mirror,7
10125,Skarner**Warmog's Armor,7
10126,Gnar**Evenshroud,7
10127,Kayn**Cloak of Agility,7
10128,Fizz**Glacial Buckler,7
10129,MonkeyKing**Muramana,7
10130,Karthus**Frostfang,7
10131,Janna**Evenshroud,7
10132,Yasuo**Serrated Dirk,7
10133,Illaoi**Stopwatch,7
10134,Thresh**Oblivion Orb,7
10135,Shen**Targon's Buckler,7
10136,Renekton**Silvermere Dawn,7
10137,Gwen**Abyssal Mask,7
10138,Nami**Horizon Focus,7
10139,Lillia**Spectre's Cowl,7
10140,Urgot**Warmog's Armor,7
10141,TwistedFate**Sapphire Crystal,7
10142,Camille**Elixir of Wrath,7
10143,Quinn**Recurve Bow,7
10144,Gwen**Boots of Swiftness,7
10145,Jayce**Dagger,7
10146,Yone**Mobility Boots,7
10147,Sona**Archangel's Staff,7
10148,Alistar**Winter's Approach,7
10149,Syndra**Slightly Magical Footwear,7
10150,Chogath**Health Potion,7
10151,Taric**Ardent Censer,7
10152,Quinn**Cloth Armor,7
10153,Draven**Amplifying Tome,7
10154,Nunu**Hailblade,7
10155,Twitch**Ravenous Hydra,7
10156,Thresh**Fiendish Codex,7
10157,Illaoi**Boots,7
10158,Qiyana**Cloak of Agility,7
10159,Gragas**Doran's Shield,7
10160,Sylas**Winter's Approach,7
10161,Anivia**Aether Wisp,7
10162,Skarner**Boots,7
10163,Amumu**Shadowflame,7
10164,Zyra**Horizon Focus,7
10165,Thresh**Galeforce,7
10166,Rell**Total Biscuit of Everlasting Will,7
10167,Kalista**Mercury's Treads,7
10168,Veigar**Abyssal Mask,7
10169,Ezreal**Titanic Hydra,7
10170,Teemo**Vampiric Scepter,7
10171,Veigar**Night Harvester,7
10172,Gwen**Anathema's Chains,7
10173,Kassadin**Muramana,7
10174,Urgot**Frozen Heart,7
10175,Karma**Anathema's Chains,7
10176,Swain**Imperial Mandate,7
10177,Thresh**Cloak of Agility,7
10178,Pyke**Rejuvenation Bead,7
10179,Varus**Amplifying Tome,7
10180,Braum**Fimbulwinter,7
10181,Ezreal**Frostfire Gauntlet,7
10182,Lux**Elixir of Sorcery,7
10183,Illaoi**Force of Nature,7
10184,Varus**Blighting Jewel,7
10185,Gangplank**Null-Magic Mantle,7
10186,Darius**Serrated Dirk,7
10187,Nidalee**Perfectly Timed Stopwatch,7
10188,Sejuani**Locket of the Iron Solari,7
10189,Maokai**Crystalline Bracer,7
10190,Janna**Hextech Alternator,7
10191,Shaco**Seraph's Embrace,7
10192,Kled**Chempunk Chainsword,7
10193,FiddleSticks**Commencing Stopwatch,7
10194,Twitch**Spellthief's Edge,7
10195,Zed**Sterak's Gage,7
10196,Katarina**Sunfire Aegis,7
10197,Skarner**Chempunk Chainsword,7
10198,Mordekaiser**Banshee's Veil,7
10199,Pantheon**Lord Dominik's Regards,7
10200,Tryndamere**Boots of Swiftness,7
10201,Jayce**Blasting Wand,7
10202,Alistar**Faerie Charm,7
10203,Blitzcrank**Muramana,7
10204,Swain**Evenshroud,7
10205,Elise**Hailblade,7
10206,Ashe**Serpent's Fang,7
10207,Yasuo**Elixir of Wrath,7
10208,Mordekaiser**Chain Vest,7
10209,Jayce**Axiom Arc,7
10210,Shaco**Emberknife,7
10211,Amumu**Hextech Alternator,7
10212,Zed**Boots of Swiftness,7
10213,Vayne**Winged Moonplate,7
10214,Quinn**Chain Vest,7
10215,MasterYi**Giant's Belt,7
10216,Singed**Ionian Boots of Lucidity,7
10217,Trundle**Bami's Cinder,7
10218,Olaf**Anathema's Chains,7
10219,Varus**Corrupting Potion,7
10220,Neeko**Blade of The Ruined King,7
10221,Amumu**Liandry's Anguish,7
10222,Samira**Essence Reaver,7
10223,XinZhao**Aegis of the Legion,7
10224,Sylas**Quicksilver Sash,7
10225,Jayce**Prowler's Claw,7
10226,TwistedFate**Null-Magic Mantle,7
10227,Yorick**Death's Dance,7
10228,Fizz**Verdant Barrier,7
10229,Pantheon**Doran's Shield,7
10230,Taliyah**Sapphire Crystal,7
10231,KogMaw**Lost Chapter,7
10232,Sivir**Doran's Shield,7
10233,Rengar**Anathema's Chains,7
10234,Warwick**Emberknife,7
10235,Galio**Sheen,7
10236,Galio**Lich Bane,7
10237,Karma**Crystalline Bracer,7
10238,Veigar**Total Biscuit of Everlasting Will,7
10239,Graves**Elixir of Wrath,7
10240,Cassiopeia**Spirit Visage,7
10241,Sion**Mortal Reminder,7
10242,Leona**Faerie Charm,7
10243,Urgot**Axiom Arc,7
10244,Rengar**Zeal,7
10245,XinZhao**Doran's Shield,7
10246,Ornn**Cull,7
10247,MissFortune**Fiendish Codex,7
10248,Shen**Faerie Charm,7
10249,Xayah**Runaan's Hurricane,7
10250,Mordekaiser**Hextech Alternator,7
10251,Skarner**Glacial Buckler,7
10252,Azir**Total Biscuit of Everlasting Will,7
10253,MasterYi**Eclipse,7
10254,Olaf**Hullbreaker,7
10255,Seraphine**Ornn upgraded item,1
10256,Leblanc**Berserker's Greaves,7
10257,Samira**Youmuu's Ghostblade,7
10258,Volibear**Caulfield's Warhammer,7
10259,Lucian**Stormrazor,7
10260,Leona**Warmog's Armor,7
10261,Riven**Thornmail,7
10262,Draven**Mobility Boots,7
10263,Ivern**Sorcerer's Shoes,7
10264,Lulu**Verdant Barrier,7
10265,Samira**Kindlegem,7
10266,Garen**Lord Dominik's Regards,7
10267,Gragas**Hailblade,7
10268,Camille**Berserker's Greaves,7
10269,Irelia**Ornn upgraded item,1
10270,JarvanIV**Oblivion Orb,7
10271,Fizz**Tear of the Goddess,7
10272,Aphelios**Serpent's Fang,7
10273,Kaisa**Void Staff,7
10274,Ashe**Black Cleaver,7
10275,Pyke**Tiamat,7
10276,Sona**Aether Wisp,7
10277,Vex**Slightly Magical Footwear,7
10278,Camille**Winged Moonplate,7
10279,FiddleSticks**Ornn upgraded item,1
10280,Rakan**Blasting Wand,7
10281,Udyr**Vampiric Scepter,7
10282,LeeSin**Titanic Hydra,7
10283,Soraka**Winged Moonplate,7
10284,Akali**Ravenous Hydra,7
10285,Sett**Quicksilver Sash,7
10286,XinZhao**Navori Quickblades,7
10287,Trundle**Zeal,7
10288,XinZhao**Hexdrinker,7
10289,Corki**Ionian Boots of Lucidity,7
10290,Warwick**Eclipse,7
10291,Ahri**Fimbulwinter,7
10292,Brand**Winged Moonplate,7
10293,Varus**Chain Vest,7
10294,Pantheon**Anathema's Chains,7
10295,Malzahar**Sapphire Crystal,7
10296,Ezreal**Seeker's Armguard,7
10297,Draven**Manamune,7
10298,Warwick**Prowler's Claw,7
10299,Zilean**Dead Man's Plate,7
10300,Samira**Galeforce,7
10301,Udyr**Zhonya's Hourglass,7
10302,Lux**Archangel's Staff,7
10303,Maokai**Steel Shoulderguards,7
10304,Kassadin**Randuin's Omen,7
10305,TwistedFate**Total Biscuit of Everlasting Will,7
10306,Bard**Crown of the Shattered Queen,7
10307,Yone**Axiom Arc,7
10308,Illaoi**Aegis of the Legion,7
10309,Nami**Warden's Mail,7
10310,Swain**Bramble Vest,7
10311,Fizz**Divine Sunderer,7
10312,Braum**Sunfire Aegis,6
10313,Volibear**Warmog's Armor,6
10314,Riven**Cloak of Agility,6
10315,Viego**Eclipse,6
10316,Lissandra**Giant's Belt,6
10317,Yasuo**Hexdrinker,6
10318,Malzahar**Perfectly Timed Stopwatch,6
10319,Mordekaiser**Rejuvenation Bead,6
10320,Olaf**Ironspike Whip,6
10321,Poppy**Slightly Magical Footwear,6
10322,Pantheon**Spectre's Cowl,6
10323,Leona**Corrupting Potion,6
10324,Draven**Blade of The Ruined King,6
10325,Nidalee**Sterak's Gage,6
10326,Azir**Shard of True Ice,6
10327,Shaco**Thornmail,6
10328,Leona**Amplifying Tome,6
10329,Rell**Amplifying Tome,6
10330,Yasuo**Navori Quickblades,6
10331,JarvanIV**Essence Reaver,6
10332,Neeko**Recurve Bow,6
10333,Shen**Cull,6
10334,Twitch**Luden's Tempest,6
10335,Pantheon**Quicksilver Sash,6
10336,Viego**Mobility Boots,6
10337,RekSai**Hullbreaker,6
10338,Thresh**Slightly Magical Footwear,6
10339,Ezreal**Aether Wisp,6
10340,Shen**Bandleglass Mirror,6
10341,Varus**Dark Seal,6
10342,Amumu**Void Staff,6
10343,Velkoz**Ornn upgraded item,1
10344,Yuumi**Stopwatch,6
10345,KogMaw**Cosmic Drive,6
10346,Orianna**Forbidden Idol,6
10347,Galio**Ornn upgraded item,1
10348,Darius**Doran's Ring,6
10349,Viego**Rejuvenation Bead,6
10350,Poppy**B. F. Sword,6
10351,Singed**Locket of the Iron Solari,6
10352,Teemo**Warden's Mail,6
10353,JarvanIV**Perfectly Timed Stopwatch,6
10354,Teemo**Noonquiver,6
10355,Nidalee**Dagger,6
10356,Udyr**Eclipse,6
10357,Karthus**Doran's Shield,6
10358,XinZhao**Dead Man's Plate,6
10359,JarvanIV**Frostfang,6
10360,Leona**Oblivion Orb,6
10361,Bard**Corrupting Potion,6
10362,Nocturne**Ravenous Hydra,6
10363,Nasus**Everfrost,6
10364,Akali**Warden's Mail,6
10365,Gwen**Quicksilver Sash,6
10366,Tristana**Navori Quickblades,6
10367,Darius**Serpent's Fang,6
10368,Sion**Phantom Dancer,6
10369,MasterYi**Amplifying Tome,6
10370,Fiora**Mobility Boots,6
10371,Akshan**Slightly Magical Footwear,6
10372,Ashe**Umbral Glaive,6
10373,Ezreal**The Collector,6
10374,Evelynn**Null-Magic Mantle,6
10375,Elise**Kircheis Shard,6
10376,Renekton**Dagger,6
10377,Maokai**Lost Chapter,6
10378,Senna**Quicksilver Sash,6
10379,Vi**Hullbreaker,6
10380,Morgana**Spectre's Cowl,6
10381,Zyra**Perfectly Timed Stopwatch,6
10382,Riven**Trinity Force,6
10383,Olaf**Rejuvenation Bead,6
10384,Ezreal**Galeforce,6
10385,Kassadin**Aegis of the Legion,6
10386,Irelia**Maw of Malmortius,6
10387,Fizz**Demonic Embrace,6
10388,Taric**Broken Stopwatch,2
10389,Yone**Chempunk Chainsword,6
10390,Irelia**Zeal,6
10391,Shaco**Randuin's Omen,6
10392,Warwick**Corrupting Potion,6
10393,FiddleSticks**Anathema's Chains,6
10394,Vi**Silvermere Dawn,6
10395,Malphite**Elixir of Sorcery,6
10396,Chogath**Seraph's Embrace,6
10397,Malphite**Lich Bane,6
10398,Ryze**Doran's Shield,6
10399,Renekton**Health Potion,6
10400,Aatrox**Sapphire Crystal,6
10401,LeeSin**Amplifying Tome,6
10402,Nasus**Zhonya's Hourglass,6
10403,MonkeyKing**Frozen Heart,6
10404,Vayne**Tear of the Goddess,6
10405,Braum**Shurelya's Battlesong,6
10406,Pantheon**Trinity Force,6
10407,Syndra**Null-Magic Mantle,6
10408,Malphite**Verdant Barrier,6
10409,FiddleSticks**Rejuvenation Bead,6
10410,Volibear**Berserker's Greaves,6
10411,Braum**Sapphire Crystal,6
10412,Twitch**Tear of the Goddess,6
10413,Kayle**Lord Dominik's Regards,6
10414,Diana**Leeching Leer,6
10415,Annie**Total Biscuit of Everlasting Will,6
10416,Gwen**Tear of the Goddess,6
10417,AurelionSol**Refillable Potion,6
10418,Janna**Knight's Vow,6
10419,Leona**Elixir of Iron,6
10420,DrMundo**Runesteel Spaulders,6
10421,Kayle**Hextech Alternator,6
10422,Viktor**Quicksilver Sash,6
10423,Gangplank**Hullbreaker,6
10424,Aphelios**Eclipse,6
10425,Elise**Emberknife,6
10426,Bard**Shadowflame,6
10427,Varus**Needlessly Large Rod,6
10428,Vladimir**Null-Magic Mantle,6
10429,Skarner**Wit's End,6
10430,Urgot**Winged Moonplate,6
10431,Xerath**Bramble Vest,6
10432,Trundle**Ironspike Whip,6
10433,Pyke**Crystalline Bracer,6
10434,Sion**Goredrinker,6
10435,Teemo**Frostfang,6
10436,Nasus**Bulwark of the Mountain,6
10437,Evelynn**Horizon Focus,6
10438,Darius**Frostfire Gauntlet,6
10439,Viktor**Mobility Boots,6
10440,XinZhao**Galeforce,6
10441,Gragas**Chemtech Putrifier,6
10442,Aphelios**Warden's Mail,6
10443,Kaisa**Eclipse,6
10444,Irelia**Serpent's Fang,6
10445,Riven**Infinity Edge,6
10446,Katarina**Guardian Angel,6
10447,Leblanc**Sheen,6
10448,Poppy**Steel Shoulderguards,6
10449,Vi**Hexdrinker,6
10450,Nami**Frozen Heart,6
10451,Sivir**Ruby Crystal,6
10452,Ashe**Harrowing Crescent,6
10453,XinZhao**Phantom Dancer,6
10454,Sylas**Rejuvenation Bead,6
10455,Rakan**Verdant Barrier,6
10456,Nocturne**Tear of the Goddess,6
10457,Soraka**Bramble Vest,6
10458,Ezreal**Randuin's Omen,6
10459,Orianna**Demonic Embrace,6
10460,Azir**Rejuvenation Bead,6
10461,Shaco**Bandleglass Mirror,6
10462,Yuumi**Crystalline Bracer,6
10463,Talon**Tiamat,6
10464,Viego**Riftmaker,6
10465,Senna**Knight's Vow,6
10466,Rumble**Frostfang,6
10467,TwistedFate**B. F. Sword,6
10468,Yasuo**Phage,6
10469,MonkeyKing**Anathema's Chains,6
10470,Senna**Sterak's Gage,6
10471,Aphelios**Tear of the Goddess,6
10472,Tryndamere**Silvermere Dawn,6
10473,Tryndamere**Doran's Ring,6
10474,Jax**Serylda's Grudge,6
10475,Caitlyn**Doran's Ring,6
10476,Lulu**Berserker's Greaves,6
10477,Kayn**Tiamat,6
10478,AurelionSol**Sapphire Crystal,6
10479,Fiora**Youmuu's Ghostblade,6
10480,Jhin**Corrupting Potion,6
10481,Yone**Navori Quickblades,6
10482,Aatrox**Boots of Swiftness,6
10483,Trundle**Bandleglass Mirror,6
10484,RekSai**Amplifying Tome,6
10485,Volibear**Needlessly Large Rod,6
10486,Yuumi**Doran's Blade,6
10487,Akali**Ornn upgraded item,1
10488,Thresh**Doran's Blade,6
10489,Gangplank**Anathema's Chains,6
10490,Rengar**Force of Nature,6
10491,Malzahar**Aether Wisp,6
10492,JarvanIV**Bandleglass Mirror,6
10493,Zyra**Evenshroud,6
10494,Annie**Plated Steelcaps,6
10495,Caitlyn**Ruby Crystal,6
10496,Sylas**Berserker's Greaves,6
10497,Nami**Cull,6
10498,Kalista**Serylda's Grudge,6
10499,Yuumi**Morellonomicon,6
10500,Jinx**Caulfield's Warhammer,6
10501,Chogath**Sapphire Crystal,6
10502,Amumu**Spirit Visage,6
10503,Sona**Shadowflame,6
10504,Twitch**Umbral Glaive,6
10505,Garen**Aether Wisp,6
10506,Zed**Zhonya's Hourglass,6
10507,Trundle**Cloak of Agility,6
10508,Renekton**Abyssal Mask,6
10509,Singed**Rejuvenation Bead,6
10510,Shaco**Verdant Barrier,6
10511,LeeSin**Locket of the Iron Solari,6
10512,RekSai**Cull,6
10513,XinZhao**Sunfire Aegis,6
10514,Fiora**Noonquiver,6
10515,Soraka**Relic Shield,6
10516,Soraka**Cosmic Drive,6
10517,KogMaw**Shard of True Ice,6
10518,Fiora**Bloodthirster,6
10519,Darius**Immortal Shieldbow,6
10520,Blitzcrank**Ornn upgraded item,1
10521,Malzahar**Verdant Barrier,6
10522,MasterYi**Kircheis Shard,6
10523,Shaco**Navori Quickblades,6
10524,Qiyana**Elixir of Wrath,6
10525,Jax**Tear of the Goddess,6
10526,Yuumi**Sapphire Crystal,6
10527,Rengar**Doran's Ring,6
10528,Zac**Sapphire Crystal,6
10529,Lux**Night Harvester,6
10530,Evelynn**Everfrost,6
10531,Illaoi**Bami's Cinder,6
10532,Kassadin**Spectre's Cowl,6
10533,Sion**Death's Dance,6
10534,Braum**Slightly Magical Footwear,6
10535,Rammus**Warmog's Armor,6
10536,Swain**Commencing Stopwatch,6
10537,Vex**Cull,6
10538,FiddleSticks**B. F. Sword,6
10539,Sivir**Navori Quickblades,6
10540,Jax**Muramana,6
10541,Thresh**Fimbulwinter,6
10542,Riven**Dagger,6
10543,Lucian**Chempunk Chainsword,6
10544,Tryndamere**Sapphire Crystal,6
10545,Zac**Sheen,6
10546,Akshan**Tear of the Goddess,6
10547,Samira**Doran's Shield,6
10548,Neeko**Total Biscuit of Everlasting Will,6
10549,Samira**Needlessly Large Rod,6
